qid	step	n_total	n_active	active_metal_index	n_adsorbate	n_first_shell	input_file
04c1119	s0	428	60	ALL	0	48	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/04c1119/s0_freq.inp
04c1119	s1	431	9	11	3	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/04c1119/s1_freq.inp
04c1119	s2	433	11	11	5	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/04c1119/s2_freq.inp
04c1119	s3	435	13	11	7	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/04c1119/s3_freq.inp
04c1119	s4	434	12	11	6	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/04c1119/s4_freq.inp
04c1119	s5	436	14	2	8	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/04c1119/s5_freq.inp
ea9f3ea	s0	54	22	ALL	0	16	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/ea9f3ea/s0_freq.inp
ea9f3ea	s1	57	7	1	3	3	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/ea9f3ea/s1_freq.inp
ea9f3ea	s2	59	8	1	5	3	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/ea9f3ea/s2_freq.inp
ea9f3ea	s3	61	10	1	7	3	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/ea9f3ea/s3_freq.inp
ea9f3ea	s4	60	9	1	6	4	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/ea9f3ea/s4_freq.inp
ea9f3ea	s5	62	11	1	8	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/ea9f3ea/s5_freq.inp
0e64acd	s0	200	25	ALL	0	19	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/0e64acd/s0_freq.inp
0e64acd	s1	203	7	3	3	4	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/0e64acd/s1_freq.inp
0e64acd	s2	205	9	3	5	4	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/0e64acd/s2_freq.inp
0e64acd	s3	207	11	3	7	4	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/0e64acd/s3_freq.inp
0e64acd	s4	206	10	3	6	5	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/0e64acd/s4_freq.inp
0e64acd	s5	208	12	3	8	6	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/0e64acd/s5_freq.inp
52ef7e9	s0	86	8	ALL	0	6	/sessions/serene-compassionate-mayer/mnt/mof_dft/Review_one/new_calc/R2-3_zpe_entropy/runs/52ef7e9/s0_freq.inp
