File,Stability,stable_percent
qmof-20f906c.cif,"The solvent removal stability prediction is: 0.59. Uncertain, but predict the MOF is stable upon solvent removal.",0.59
qmof-150e43b.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-8700bb5.cif,"The solvent removal stability prediction is: 0.44. Uncertain, but predict the MOF is unstable upon solvent removal.",0.44
qmof-1281756.cif,The solvent removal stability prediction is: 0.73. Fairly confident the MOF is stable upon solvent removal.,0.73
qmof-f17dd8e.cif,The solvent removal stability prediction is: 0.67. Fairly confident the MOF is stable upon solvent removal.,0.67
qmof-049a1ce.cif,The solvent removal stability prediction is: 0.71. Fairly confident the MOF is stable upon solvent removal.,0.71
qmof-ae3c113.cif,The solvent removal stability prediction is: 0.29. Fairly confident the MOF is unstable upon solvent removal.,0.29
qmof-7dfff4f.cif,"The solvent removal stability prediction is: 0.6. Uncertain, but predict the MOF is stable upon solvent removal.",0.6
qmof-52ef7e9.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
qmof-04c1119.cif,The solvent removal stability prediction is: 0.87. Very confident the MOF is stable upon solvent removal.,0.87
qmof-dd2ad17.cif,"The solvent removal stability prediction is: 0.56. Uncertain, but predict the MOF is stable upon solvent removal.",0.56
qmof-880a9d7.cif,The solvent removal stability prediction is: 0.9. Very confident the MOF is stable upon solvent removal.,0.9
qmof-912bab6.cif,The solvent removal stability prediction is: 0.62. Fairly confident the MOF is stable upon solvent removal.,0.62
qmof-051e081.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-daa897c.cif,The solvent removal stability prediction is: 0.29. Fairly confident the MOF is unstable upon solvent removal.,0.29
qmof-8f5113c.cif,The solvent removal stability prediction is: 0.89. Very confident the MOF is stable upon solvent removal.,0.89
qmof-07c07d3.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
