File,stable_percent,thermal_breakdown
qmof-150e43b,0.8, 365.2
qmof-52ef7e9,0.93, 247.7
qmof-04c1119,0.87, 371.5
qmof-880a9d7,0.9, 298.2
qmof-051e081,0.8, 313.9
qmof-8f5113c,0.89, 346.3
qmof-07c07d3,0.93, 367.9
qmof-58f416c,0.8, 376.1
qmof-e2d2c46,0.93, 297.4
qmof-b028f18,0.84, 76.9
qmof-cd9c899,0.9, 372.9
qmof-74ace65,0.82, 322.9
qmof-2b10e5e,0.86, 450.2
qmof-31812e1,0.91, 304.8
qmof-0e64acd,0.85, 292.0
qmof-e0d0d89,0.89, 331.0
qmof-ea9f3ea,0.93, 325.7
qmof-91692c9,0.94, 365.6
qmof-9f8e842,0.9, 397.8
qmof-ba25365,0.94, 442.1
qmof-fbf9a0d,0.75, 389.8
qmof-369e546,0.9, 339.4
qmof-3fcf6ee,0.91, 421.5
