f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
198.0625,427.3714000000001,619.746,644.7880000000001,880.0,1948.0,2556.0,2266.0,30.0,64.0,94.0,102.0,158.0,380.0,510.0,450.0,13.957400000000003,32.71120000000001,45.4798,44.47419999999999,example_mof_primitive
198.0625,427.3714,619.7460000000002,644.7880000000001,880.0,1948.0,2556.0,2266.0,30.0,64.0,94.0,102.0,158.0,380.0,510.0,450.0,13.957400000000003,32.711200000000005,45.47980000000001,44.47420000000001,example_mof_primitive
221.7297,470.2914,667.482,741.5992,1008.0,2148.0,2916.0,2944.0,32.0,68.0,98.0,110.0,166.0,400.0,546.0,512.0,15.0232,34.90040000000001,48.837,50.8718,example_mof_primitive
134.3564,286.9174,378.476,322.325,632.0,1372.0,1640.0,1136.0,20.0,42.0,56.0,50.0,98.0,224.0,276.0,184.0,9.912400000000002,22.193000000000005,27.96880000000001,22.0706,example_mof_primitive
198.0625,427.3714000000001,619.746,644.7880000000001,880.0,1948.0,2556.0,2266.0,30.0,64.0,94.0,102.0,158.0,380.0,510.0,450.0,13.957400000000003,32.71120000000001,45.4798,44.47419999999999,example_mof_primitive
198.0625,427.3714,619.7460000000002,644.7880000000001,880.0,1948.0,2556.0,2266.0,30.0,64.0,94.0,102.0,158.0,380.0,510.0,450.0,13.957400000000003,32.711200000000005,45.47980000000001,44.47420000000001,example_mof_primitive
221.7297,470.2914,667.482,741.5992,1008.0,2148.0,2916.0,2944.0,32.0,68.0,98.0,110.0,166.0,400.0,546.0,512.0,15.0232,34.90040000000001,48.837,50.8718,example_mof_primitive
134.3564,286.9174,378.476,322.325,632.0,1372.0,1640.0,1136.0,20.0,42.0,56.0,50.0,98.0,224.0,276.0,184.0,9.912400000000002,22.193000000000005,27.96880000000001,22.0706,example_mof_primitive
86.5382,178.85700000000006,277.82899999999995,285.03520000000003,320.0,684.0,848.0,724.0,14.0,28.0,44.0,46.0,72.0,168.0,206.0,184.0,5.5038,12.812800000000005,17.616,16.3478,qmof-0a0e6b0_primitive
86.5382,178.85700000000006,277.82899999999995,285.03520000000003,320.0,684.0,848.0,724.0,14.0,28.0,44.0,46.0,72.0,168.0,206.0,184.0,5.5038,12.812800000000005,17.616,16.347800000000003,qmof-0a0e6b0_primitive
86.5382,178.85700000000006,277.829,285.03520000000003,320.0,684.0,848.0,724.0,14.0,28.0,44.0,46.0,72.0,168.0,206.0,184.0,5.5038,12.812800000000005,17.616,16.3478,qmof-0a0e6b0_primitive
86.5382,178.85700000000003,277.82899999999995,285.03520000000003,320.0,684.0,848.0,724.0,14.0,28.0,44.0,46.0,72.0,168.0,206.0,184.0,5.5038,12.812800000000005,17.616,16.3478,qmof-0a0e6b0_primitive
35.009699999999995,46.30799999999999,53.9392,0.0,165.0,204.0,160.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,1.7956,2.8182,2.1462,0.0,qmof-0a0e6b0_primitive
35.009699999999995,46.30799999999999,53.9392,0.0,165.0,204.0,160.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,1.7956,2.8182,2.1462,0.0,qmof-0a0e6b0_primitive
35.0097,46.30799999999999,53.9392,0.0,165.0,204.0,160.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,1.7956,2.8182,2.1462,0.0,qmof-0a0e6b0_primitive
35.0097,46.30799999999999,53.9392,0.0,165.0,204.0,160.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,1.7956,2.8182,2.1462,0.0,qmof-0a0e6b0_primitive
82.7748,173.8292,268.3954,217.53000000000003,297.0,650.0,856.0,480.0,13.0,26.0,42.0,32.0,68.0,152.0,170.0,128.0,4.8805000000000005,11.5354,15.4274,11.3416,qmof-00a1a50_primitive
82.7748,173.8292,268.39539999999994,217.53000000000003,297.0,650.0,856.0,480.0,13.0,26.0,42.0,32.0,68.0,152.0,170.0,128.0,4.8805,11.5354,15.4274,11.3416,qmof-00a1a50_primitive
82.77480000000001,173.8292,268.39539999999994,217.5300000000001,297.0,650.0,856.0,480.0,13.0,26.0,42.0,32.0,68.0,152.0,170.0,128.0,4.8805,11.5354,15.4274,11.3416,qmof-00a1a50_primitive
